general stuff,concrete-pumper-1,Potratz,http://www.potratzsouth.com/
general stuff,360toolkit-cubemap-converter,defunct web converter,https://www.360toolkit.co/convert-spherical-equirectangular-to-cubemap
general stuff,bkcore-blog-shdr,here,http://bkcore.com/blog/3d/shdr-online-glsl-shader-editor-viewer-validator.html
Graphics Town Things,grtown-rubric,2023 Graphics Town Rubric,https:/pages.graphics.cs.wisc.edu/559-sp24/grtown/rubric
Graphics Town Things,grtown-index,2023 Graphics Town Index,https:/pages.graphics.cs.wisc.edu/559-sp24/grtown
Graphics Town Things,grtown-instructions,2023 Graphics Town Instructions,https:/pages.graphics.cs.wisc.edu/559-sp24/grtown/grtown
Graphics Town Things,grtown-hints,2023 Graphics Town Hints,https:/pages.graphics.cs.wisc.edu/559-sp24/grtown/hints
Graphics Town Things,grtown-advanced,2023 Graphics Town Advanced Things,https:/pages.graphics.cs.wisc.edu/559-sp24/grtown/advanced
Graphics Town Things,grtown-instructions-attribution,2023 Graphics Town Attribution Instructions,https:/pages.graphics.cs.wisc.edu/559-sp24/grtown/grtown/#collaboration-use-re-use-and-attribution
